roi_id,source_image,pred1_species,pred1_genus,pred1_conf,pred1_class_idx,pred2_species,pred2_genus,pred2_conf,pred2_class_idx,pred3_species,pred3_genus,pred3_conf,pred3_class_idx,pred4_species,pred4_genus,pred4_conf,pred4_class_idx,pred5_species,pred5_genus,pred5_conf,pred5_class_idx,top1_confidence,top1_top2_gap,top1_genus,top2_genus,genus_agreement,confidence_tier
roi_0000,Albaninė Šilagėlė.JPG,Hyoscyamus albus L.,Hyoscyamus,0.7064,138,Adonis microcarpa DC.,Adonis,0.1012,134,Papaver alpinum L.,Papaver,0.0445,475,Barbarea vulgaris W.T. Aiton,Barbarea,0.0277,790,Anemone baldensis L.,Anemone,0.0127,474,0.7064,0.6052000000000001,Hyoscyamus,Adonis,False,TIER_2_GOOD
roi_0001,Albaninė Šilagėlė.JPG,Papaver alpinum L.,Papaver,0.1564,475,Anemone baldensis L.,Anemone,0.1248,474,Anemone alpina L.,Anemone,0.087,471,Fragaria × ananassa (Duchesne ex Weston) Duchesne ex Rozier,Fragaria,0.0782,1061,Cucurbita maxima Duchesne,Cucurbita,0.0368,371,0.1564,0.0316,Papaver,Anemone,False,TIER_5_UNRELIABLE
roi_0002,Albaninė Šilagėlė.JPG,Dendrobium closterium Rchb.f.,Dendrobium,0.1187,801,Trimezia martinicensis (Jacq.) Herb.,Trimezia,0.1133,687,Lupinus arboreus Sims,Lupinus,0.0633,435,Crotalaria chrysochlora Baker f. ex Harms,Crotalaria,0.0502,257,Anemone ranunculoides L.,Anemone,0.0449,532,0.1187,0.0054,Dendrobium,Trimezia,False,TIER_5_UNRELIABLE
roi_0003,Albaninė Šilagėlė.JPG,Anemone baldensis L.,Anemone,0.5126,474,Anemone alpina L.,Anemone,0.2767,471,Limnanthes douglasii R.Br.,Limnanthes,0.0531,433,Adonis pyrenaica DC.,Adonis,0.0155,595,Sedum alpestre Vill.,Sedum,0.0153,508,0.5126,0.2358999999999999,Anemone,Anemone,True,TIER_3_GENUS_OK
roi_0005,DSCF1430-2.JPG,Centranthus ruber (L.) DC.,Centranthus,0.1296,240,Oncostema peruviana (L.) Speta,Oncostema,0.1005,159,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.091,1056,Viscaria alpina (L.) G.Don,Viscaria,0.0543,525,Wigandia caracasana Kunth,Wigandia,0.0427,178,0.1296,0.0290999999999999,Centranthus,Oncostema,False,TIER_5_UNRELIABLE
roi_0006,DSCF1430-2.JPG,Alocasia zebrina Schott ex Van Houtte,Alocasia,0.6308,968,Xylopia nitida Dunal,Xylopia,0.0745,612,Alocasia micholitziana Sander,Alocasia,0.0605,858,Bocoa prouacensis Aubl.,Bocoa,0.0372,601,Xylopia sericea A.St.-Hil.,Xylopia,0.0152,613,0.6308,0.5563,Alocasia,Xylopia,False,TIER_2_GOOD
roi_0010,DSCF1431-2.JPG,Tradescantia zebrina Bosse,Tradescantia,0.2758,561,Tradescantia virginiana L.,Tradescantia,0.1451,519,Cryptostegia madagascariensis Bojer ex Decne.,Cryptostegia,0.075,640,Tradescantia x andersoniana F.Ludw. & Rohweder,Tradescantia,0.0371,518,Lamium maculatum L.,Lamium,0.0342,755,0.2758,0.1306999999999999,Tradescantia,Tradescantia,True,TIER_4_LOW
roi_0016,DSCF1441-2.JPG,Trifolium pratense L.,Trifolium,0.8773,112,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,0.0402,556,Trifolium alpestre L.,Trifolium,0.02,520,Trifolium purpureum Loisel.,Trifolium,0.0078,113,Freesia alba (G.L.Mey.) Grumbleton,Freesia,0.0058,551,0.8773,0.8371,Trifolium,Neotinea,False,TIER_1_HIGH
roi_0018,DSCF1442-2.JPG,Daphne odora Thunb.,Daphne,0.385,860,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.1615,919,Daphne cneorum L.,Daphne,0.1124,377,Daphne striata Tratt.,Daphne,0.0792,379,Pereskia grandifolia Haw.,Pereskia,0.0392,673,0.385,0.2235,Daphne,Pelargonium,False,TIER_4_LOW
roi_0019,DSCF1442-2.JPG,Petiveria alliacea L.,Petiveria,0.1926,297,Acalypha integrifolia Willd.,Acalypha,0.1036,682,Smilax aspera L.,Smilax,0.074,205,Phyllanthus urinaria L.,Phyllanthus,0.0447,614,Vismia cayennensis (Jacq.) Pers.,Vismia,0.0321,607,0.1926,0.089,Petiveria,Acalypha,False,TIER_5_UNRELIABLE
roi_0022,DSCF1486-2.JPG,Punica granatum L.,Punica,0.6541,122,Nandina domestica Thunb.,Nandina,0.2796,706,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,0.0474,271,Pereskia aculeata Mill.,Pereskia,0.0055,698,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0032,483,0.6541,0.3745,Punica,Nandina,False,TIER_2_GOOD
roi_0023,DSCF1487-2.JPG,Punica granatum L.,Punica,0.982,122,Freesia x hybrida L.H.Bailey,Freesia,0.0059,400,Tagetes patula L.,Tagetes,0.0034,243,Pereskia bleo (Kunth) DC.,Pereskia,0.0027,633,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.001,277,0.982,0.9761,Punica,Freesia,False,TIER_1_HIGH
