tier_group,n,k,level,top1_acc,top1_ci_lo,top1_ci_hi,top5_acc,top5_ci_lo,top5_ci_hi,model
Tier 1 only,64,1,species,0.421875,0.3125,0.546875,0.421875,0.3125,0.546875,resnet50
Tier 1 only,64,1,genus,0.46875,0.358984375,0.59375,0.46875,0.358984375,0.59375,resnet50
Tier 1 only,64,1,family,0.5,0.375,0.625,0.5,0.375,0.625,resnet50
Tier 1 only,64,3,species,0.359375,0.25,0.46875,0.453125,0.34375,0.578125,resnet50
Tier 1 only,64,3,genus,0.421875,0.3125,0.546875,0.53125,0.40625,0.65625,resnet50
Tier 1 only,64,3,family,0.4375,0.3125,0.5625,0.5625,0.4375,0.6875,resnet50
Tier 1 only,64,5,species,0.359375,0.234375,0.46875,0.515625,0.40625,0.625,resnet50
Tier 1 only,64,5,genus,0.421875,0.3125,0.546875,0.59375,0.484375,0.703125,resnet50
Tier 1 only,64,5,family,0.453125,0.328125,0.5625,0.640625,0.53125,0.75,resnet50
Tier 1+2,118,1,species,0.4067796610169492,0.3220339119434356,0.5,0.4067796610169492,0.3220339119434356,0.5,resnet50
Tier 1+2,118,1,genus,0.4576271186440678,0.3728813529014587,0.5508474707603455,0.4576271186440678,0.3728813529014587,0.5508474707603455,resnet50
Tier 1+2,118,1,family,0.4661016949152542,0.3813559412956238,0.5593220591545105,0.4661016949152542,0.3813559412956238,0.5593220591545105,resnet50
Tier 1+2,118,3,species,0.4152542372881356,0.3305084705352783,0.5,0.5677966101694916,0.4745762646198272,0.6610169410705566,resnet50
Tier 1+2,118,3,genus,0.4576271186440678,0.3644067943096161,0.5508474707603455,0.6186440677966102,0.5338982939720154,0.7033898234367371,resnet50
Tier 1+2,118,3,family,0.4745762711864407,0.3813559412956238,0.5762711763381958,0.6440677966101694,0.5593220591545105,0.7203390002250671,resnet50
Tier 1+2,118,5,species,0.3559322033898305,0.2627118527889251,0.4491525292396545,0.6101694915254238,0.5169491767883301,0.7033898234367371,resnet50
Tier 1+2,118,5,genus,0.4745762711864407,0.3813559412956238,0.5677965879440308,0.6779661016949152,0.6014830768108368,0.7627118825912476,resnet50
Tier 1+2,118,5,family,0.4830508474576271,0.3898304998874664,0.5762711763381958,0.6949152542372882,0.6101694703102112,0.7711864113807678,resnet50
Tier 1+2+3,210,1,species,0.3428571428571428,0.2761904895305633,0.4095238149166107,0.3428571428571428,0.2761904895305633,0.4095238149166107,resnet50
Tier 1+2+3,210,1,genus,0.4047619047619047,0.3380952477455139,0.4714285731315613,0.4047619047619047,0.3380952477455139,0.4714285731315613,resnet50
