roi_a,roi_b,similarity,duplicate_type
roi_0000,roi_0199,1.0,exact
roi_0001,roi_0200,1.0,exact
roi_0002,roi_0201,1.0,exact
roi_0003,roi_0202,1.0,exact
roi_0128,roi_0541,1.0,exact
roi_0146,roi_0149,0.9543,near
roi_0219,roi_0228,0.9552,near
roi_0222,roi_0229,0.9553,near
roi_0235,roi_0246,0.9629,near
roi_0237,roi_0247,0.9587,near
roi_0238,roi_0248,0.9694,near
roi_0239,roi_0250,0.968,near
roi_0259,roi_0263,0.965,near
roi_0262,roi_0265,0.9695,near
roi_0262,roi_0269,0.9791,near
roi_0262,roi_0273,0.969,near
roi_0279,roi_0284,0.9654,near
roi_0281,roi_0287,0.9638,near
roi_0337,roi_0341,0.9609,near
roi_0421,roi_0423,0.9587,near
roi_0465,roi_0467,0.9919,exact
roi_0497,roi_0501,0.9668,near
roi_0504,roi_0531,1.0,exact
roi_0505,roi_0532,1.0,exact
roi_0506,roi_0533,1.0,exact
roi_0507,roi_0534,1.0,exact
roi_0508,roi_0535,1.0,exact
