roi_id,source_image,pred1_species,pred1_genus,pred1_conf,pred1_class_idx,pred2_species,pred2_genus,pred2_conf,pred2_class_idx,pred3_species,pred3_genus,pred3_conf,pred3_class_idx,pred4_species,pred4_genus,pred4_conf,pred4_class_idx,pred5_species,pred5_genus,pred5_conf,pred5_class_idx,top1_confidence,top1_top2_gap,top1_genus,top2_genus,genus_agreement,confidence_tier
roi_0000,Albaninė Šilagėlė.JPG,Papaver alpinum L.,Papaver,0.7148,475,Anemone alpina L.,Anemone,0.2588,471,Adonis microcarpa DC.,Adonis,0.0034,134,Anemone baldensis L.,Anemone,0.0033,474,Hyoscyamus albus L.,Hyoscyamus,0.0029,138,0.7148,0.456,Papaver,Anemone,False,TIER_2_GOOD
roi_0001,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.8184,471,Fragaria × ananassa (Duchesne ex Weston) Duchesne ex Rozier,Fragaria,0.0653,1061,Anemone baldensis L.,Anemone,0.032,474,Fragaria vesca L.,Fragaria,0.0211,238,Anemone vernalis L.,Anemone,0.0197,492,0.8184,0.7531,Anemone,Fragaria,False,TIER_1_HIGH
roi_0002,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.3072,471,Trimezia martinicensis (Jacq.) Herb.,Trimezia,0.2648,687,Anemone ranunculoides L.,Anemone,0.1066,532,Lamium galeobdolon (L.) L.,Lamium,0.0863,172,Lupinus arboreus Sims,Lupinus,0.0408,435,0.3072,0.0423999999999999,Anemone,Trimezia,False,TIER_4_LOW
roi_0003,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.8248,471,Anemone baldensis L.,Anemone,0.1119,474,Limnanthes douglasii R.Br.,Limnanthes,0.0288,433,Adonis pyrenaica DC.,Adonis,0.0063,595,Limnanthes douglasii R. Br.,Limnanthes,0.0038,836,0.8248,0.7129,Anemone,Anemone,True,TIER_1_HIGH
roi_0005,DSCF1430-2.JPG,Wigandia caracasana Kunth,Wigandia,0.129,178,Dalea purpurea Vent.,Dalea,0.1181,737,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.0821,1056,Hebe andersonii (Lindl. & Paxton) Cockayne,Hebe,0.0817,407,Lavandula angustifolia Mill.,Lavandula,0.0615,173,0.129,0.0109,Wigandia,Dalea,False,TIER_5_UNRELIABLE
roi_0006,DSCF1430-2.JPG,Alocasia zebrina Schott ex Van Houtte,Alocasia,0.0638,968,Vismia cayennensis (Jacq.) Pers.,Vismia,0.0621,607,Anthurium andraeanum Linden ex André,Anthurium,0.0605,702,Bocoa prouacensis Aubl.,Bocoa,0.0466,601,Xylopia nitida Dunal,Xylopia,0.0347,612,0.0638,0.0016999999999999,Alocasia,Vismia,False,TIER_5_UNRELIABLE
roi_0010,DSCF1431-2.JPG,Trifolium alpestre L.,Trifolium,0.6677,520,Trifolium fragiferum L.,Trifolium,0.0698,20,Tradescantia zebrina Bosse,Tradescantia,0.0454,561,Lavandula angustifolia Mill.,Lavandula,0.0301,173,Dalea purpurea Vent.,Dalea,0.0231,737,0.6677,0.5979,Trifolium,Trifolium,True,TIER_2_GOOD
roi_0016,DSCF1441-2.JPG,Trifolium pratense L.,Trifolium,0.794,112,Trifolium medium L.,Trifolium,0.0563,546,Trifolium fragiferum L.,Trifolium,0.0533,20,Trifolium alpestre L.,Trifolium,0.0207,520,Nymphaea alba L.,Nymphaea,0.0161,126,0.794,0.7377,Trifolium,Trifolium,True,TIER_2_GOOD
roi_0018,DSCF1442-2.JPG,Daphne cneorum L.,Daphne,0.322,377,Trifolium pratense L.,Trifolium,0.115,112,Trifolium medium L.,Trifolium,0.1009,546,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.088,919,Daphne striata Tratt.,Daphne,0.0654,379,0.322,0.207,Daphne,Trifolium,False,TIER_4_LOW
roi_0019,DSCF1442-2.JPG,Petiveria alliacea L.,Petiveria,0.1564,297,Acalypha integrifolia Willd.,Acalypha,0.136,682,Antirhea borbonica J.F.Gmel.,Antirhea,0.1277,674,Pongamia pinnata (L.) Pierre,Pongamia,0.0574,678,Triadica sebifera (L.) Small,Triadica,0.0463,296,0.1564,0.0204,Petiveria,Acalypha,False,TIER_5_UNRELIABLE
roi_0022,DSCF1486-2.JPG,Punica granatum L.,Punica,0.5322,122,Nandina domestica Thunb.,Nandina,0.2497,706,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0645,483,Mussaenda philippica A.Rich.,Mussaenda,0.0452,853,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.0306,277,0.5322,0.2825,Punica,Nandina,False,TIER_3_MODERATE
roi_0023,DSCF1487-2.JPG,Calycanthus floridus L.,Calycanthus,0.389,564,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.2796,277,Punica granatum L.,Punica,0.0704,122,Mussaenda philippica A.Rich.,Mussaenda,0.0363,853,Cyrtanthus elatus (Jacq.) Traub,Cyrtanthus,0.0358,960,0.389,0.1094,Calycanthus,Mussaenda,False,TIER_4_LOW
roi_0025,DSCF1504-2.JPG,Punica granatum L.,Punica,0.9393,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0351,483,Pelargonium peltatum (L.) L'Hér.,Pelargonium,0.0041,6,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0037,919,Pelargonium peltatum (L.) Aiton,Pelargonium,0.0037,484,0.9393,0.9042,Punica,Pelargonium,False,TIER_1_HIGH
roi_0026,DSCF1504-2.JPG,Punica granatum L.,Punica,0.991,122,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.0029,277,Mussaenda philippica A.Rich.,Mussaenda,0.0015,853,Nandina domestica Thunb.,Nandina,0.0006,706,Acalypha wilkesiana Müll.Arg.,Acalypha,0.0004,645,0.991,0.9881,Punica,Mussaenda,False,TIER_1_HIGH
roi_0027,DSCF1505-2.JPG,Punica granatum L.,Punica,0.9905,122,Pelargonium × hortorum L.H. Bailey,Pelargonium,0.0014,1017,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0013,483,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.0011,277,Freesia x hybrida L.H.Bailey,Freesia,0.0006,400,0.9905,0.9891,Punica,Pelargonium,False,TIER_1_HIGH
roi_0029,DSCF1506-2.JPG,Punica granatum L.,Punica,0.8196,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0651,483,Pelargonium × hortorum L.H. Bailey,Pelargonium,0.0249,1017,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0228,919,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.0164,8,0.8196,0.7545,Punica,Pelargonium,False,TIER_1_HIGH
roi_0032,DSCF1511-2.JPG,Anthurium andraeanum Linden ex André,Anthurium,0.5007,702,Calycanthus floridus L.,Calycanthus,0.1429,564,Trifolium alpinum L.,Trifolium,0.053,521,Anthurium scherzerianum Schott,Anthurium,0.0402,703,Pelargonium x hortorum L.H. Bailey,Pelargonium,0.0376,832,0.5007,0.3578,Anthurium,Calycanthus,False,TIER_3_MODERATE
roi_0034,DSCF1512-2.JPG,Punica granatum L.,Punica,0.9897,122,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.0046,277,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0009,483,Cyrtanthus elatus (Jacq.) Traub,Cyrtanthus,0.0007,960,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0006,919,0.9897,0.9851,Punica,Mussaenda,False,TIER_1_HIGH
roi_0035,DSCF1532-2.JPG,Punica granatum L.,Punica,0.4296,122,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,0.1777,271,Calycanthus floridus L.,Calycanthus,0.13,564,Calendula officinalis L.,Calendula,0.0221,35,Pereskia bleo (Kunth) DC.,Pereskia,0.0152,633,0.4296,0.2519,Punica,Trachelospermum,False,TIER_3_MODERATE
roi_0036,DSCF1532-2.JPG,Punica granatum L.,Punica,0.2654,122,Kniphofia uvaria (L.) Hook.,Kniphofia,0.2597,423,Kniphofia uvaria (L.) Oken,Kniphofia,0.1583,863,Calendula officinalis L.,Calendula,0.1304,35,Humulus lupulus L.,Humulus,0.0319,31,0.2654,0.0057,Punica,Kniphofia,False,TIER_4_LOW
roi_0037,DSCF1541-2.JPG,Punica granatum L.,Punica,0.8068,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0989,483,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0257,919,Pelargonium × hortorum L.H. Bailey,Pelargonium,0.0211,1017,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.021,8,0.8068,0.7079,Punica,Pelargonium,False,TIER_1_HIGH
roi_0038,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,0.6175,112,Trifolium medium L.,Trifolium,0.2792,546,Trifolium alpinum L.,Trifolium,0.03,521,Daphne odora Thunb.,Daphne,0.0118,860,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.0099,1056,0.6175,0.3383,Trifolium,Trifolium,True,TIER_2_GOOD
roi_0039,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,0.3203,112,Hebe andersonii (Lindl. & Paxton) Cockayne,Hebe,0.1443,407,Hebe salicifolia (G.Forst.) Pennell,Hebe,0.1216,410,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.1208,1056,Lamium maculatum L.,Lamium,0.0536,755,0.3203,0.1759999999999999,Trifolium,Hebe,False,TIER_4_LOW
roi_0040,DSCF1560-2.JPG,Viscaria alpina (L.) G.Don,Viscaria,0.2097,525,Trifolium pratense L.,Trifolium,0.1546,112,Daphne cneorum L.,Daphne,0.0848,377,Asystasia gangetica (L.) T.Anderson,Asystasia,0.0733,643,Viscaria vulgaris Bernh.,Viscaria,0.0318,526,0.2097,0.0551,Viscaria,Trifolium,False,TIER_4_LOW
roi_0041,DSCF1560-2.JPG,Trifolium resupinatum L.,Trifolium,0.1719,114,Dendrobium nobile Lindl.,Dendrobium,0.0788,705,Pereskia grandifolia Haw.,Pereskia,0.0548,673,Loropetalum chinense (R. Br.) Oliv.,Loropetalum,0.0511,833,Lamium purpureum L.,Lamium,0.0458,84,0.1719,0.0931,Trifolium,Dendrobium,False,TIER_5_UNRELIABLE
roi_0042,DSCF1560-2.JPG,Lathraea squamaria L.,Lathraea,0.1649,430,Daphne cneorum L.,Daphne,0.1212,377,Trifolium pratense L.,Trifolium,0.0951,112,Viscaria alpina (L.) G.Don,Viscaria,0.0487,525,Alcea rosea L.,Alcea,0.0291,123,0.1649,0.0436999999999999,Lathraea,Daphne,False,TIER_5_UNRELIABLE
roi_0043,DSCF1560-2.JPG,Hebe salicifolia (G.Forst.) Pennell,Hebe,0.2709,410,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.1906,1056,Daphne odora Thunb.,Daphne,0.148,860,Hebe andersonii (Lindl. & Paxton) Cockayne,Hebe,0.0662,407,Dendrobium nobile Lindl.,Dendrobium,0.0621,705,0.2709,0.0802999999999999,Hebe,Hebe,True,TIER_4_LOW
roi_0044,DSCF1563-2.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,0.5355,271,Pereskia grandifolia Haw.,Pereskia,0.1561,673,Pereskia bleo (Kunth) DC.,Pereskia,0.07,633,Loropetalum chinense (R. Br.) Oliv.,Loropetalum,0.0661,833,Cryptostegia madagascariensis Bojer ex Decne.,Cryptostegia,0.0366,640,0.5355,0.3793999999999999,Trachelospermum,Pereskia,False,TIER_3_MODERATE
roi_0045,DSCF1563-2.JPG,Tradescantia fluminensis Vell.,Tradescantia,0.4236,14,Asystasia gangetica (L.) T.Anderson,Asystasia,0.1587,643,Hypericum calycinum L.,Hypericum,0.0434,413,Hypericum x hidcoteense Hilling ex Geerinck,Hypericum,0.0422,573,Trifolium pratense L.,Trifolium,0.039,112,0.4236,0.2648999999999999,Tradescantia,Asystasia,False,TIER_3_MODERATE
