roi_id,source_image,validated_species,validated_genus,validation_method,validation_strength,include_in_metrics
roi_0000,Albaninė Šilagėlė.JPG,Papaver alpinum L.,Papaver,good_confidence_local,strong,True
roi_0001,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,high_confidence_local,strong,True
roi_0002,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,unvalidated,weak,False
roi_0003,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,high_confidence_local,strong,True
roi_0005,DSCF1430-2.JPG,Wigandia caracasana Kunth,Wigandia,unvalidated,weak,False
roi_0006,DSCF1430-2.JPG,Alocasia zebrina Schott ex Van Houtte,Alocasia,unvalidated,weak,False
roi_0010,DSCF1431-2.JPG,Trifolium alpestre L.,Trifolium,good_confidence_local,strong,True
roi_0016,DSCF1441-2.JPG,Trifolium pratense L.,Trifolium,good_confidence_local,strong,True
roi_0018,DSCF1442-2.JPG,Daphne cneorum L.,Daphne,unvalidated,weak,False
roi_0019,DSCF1442-2.JPG,Petiveria alliacea L.,Petiveria,unvalidated,weak,False
roi_0022,DSCF1486-2.JPG,Punica granatum L.,Punica,unvalidated,weak,False
roi_0023,DSCF1487-2.JPG,Calycanthus floridus L.,Calycanthus,unvalidated,weak,False
roi_0025,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0026,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0027,DSCF1505-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0029,DSCF1506-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0032,DSCF1511-2.JPG,Anthurium andraeanum Linden ex André,Anthurium,unvalidated,weak,False
roi_0034,DSCF1512-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0035,DSCF1532-2.JPG,Punica granatum L.,Punica,unvalidated,weak,False
roi_0036,DSCF1532-2.JPG,Punica granatum L.,Punica,unvalidated,weak,False
roi_0037,DSCF1541-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0038,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,good_confidence_local,strong,True
roi_0039,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,unvalidated,weak,False
roi_0040,DSCF1560-2.JPG,Viscaria alpina (L.) G.Don,Viscaria,unvalidated,weak,False
roi_0041,DSCF1560-2.JPG,Trifolium resupinatum L.,Trifolium,unvalidated,weak,False
roi_0042,DSCF1560-2.JPG,Lathraea squamaria L.,Lathraea,unvalidated,weak,False
roi_0043,DSCF1560-2.JPG,Hebe salicifolia (G.Forst.) Pennell,Hebe,unvalidated,weak,False
roi_0044,DSCF1563-2.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,unvalidated,weak,False
roi_0045,DSCF1563-2.JPG,Tradescantia fluminensis Vell.,Tradescantia,unvalidated,weak,False
roi_0046,DSCF1563-2.JPG,Trifolium pratense L.,Trifolium,moderate_with_genus_agreement,moderate,True
roi_0047,DSCF1563-2.JPG,Trifolium pratense L.,Trifolium,unvalidated,weak,False
roi_0050,DSCF1564-2.JPG,Cobaea scandens Cav.,Cobaea,unvalidated,weak,False
