image,true_species,full_image_pred,full_image_conf,full_image_correct,roi_pred,roi_conf,roi_correct
Albaninė Šilagėlė.JPG,Papaver alpinum L.,Limnanthes douglasii R.Br.,0.5757,False,Papaver alpinum L.,0.7148,True
DSCF1441-2.JPG,Trifolium pratense L.,Trifolium pratense L.,0.5366,True,Trifolium pratense L.,0.794,True
DSCF1504-2.JPG,Punica granatum L.,Punica granatum L.,0.8923,True,Punica granatum L.,0.9393,True
DSCF1505-2.JPG,Punica granatum L.,Punica granatum L.,0.9901,True,Punica granatum L.,0.9905,True
DSCF1506-2.JPG,Punica granatum L.,Punica granatum L.,0.8087,True,Punica granatum L.,0.8196,True
DSCF1512-2.JPG,Punica granatum L.,Punica granatum L.,0.938,True,Punica granatum L.,0.9897,True
DSCF1541-2.JPG,Punica granatum L.,Punica granatum L.,0.8996,True,Punica granatum L.,0.8068,True
DSCF1560-2.JPG,Trifolium pratense L.,Trifolium resupinatum L.,0.5213,False,Trifolium pratense L.,0.6175,True
DSCF1571-2.JPG,Trifolium pratense L.,Daphne mezereum L.,0.8673,False,Trifolium medium L.,0.3295,False
DSCF1573-2.JPG,Cobaea scandens Cav.,Hypericum calycinum L.,0.6356,False,Cobaea scandens Cav.,0.7116,True
DSC_0036.JPG,Sedum sediforme (Jacq.) Pau,Acacia mearnsii De Wild.,0.9369,False,Sedum sediforme (Jacq.) Pau,0.901,True
DSC_5566.JPG,Sedum dasyphyllum L.,Cereus uruguayanus R. Kiesling,0.4153,False,Acacia baileyana F.Muell.,0.4356,False
DSC_5575.JPG,Acacia baileyana F.Muell.,Acacia dealbata Link,0.5221,False,Cucurbita moschata Duchesne,0.4761,False
DSC_5677.JPG,Kniphofia uvaria (L.) Hook.,Kniphofia uvaria (L.) Hook.,0.6578,True,Kniphofia uvaria (L.) Hook.,0.66,True
DSC_5681.JPG,Dryas octopetala L.,Dryas octopetala L.,0.405,True,Anemone alpina L.,0.1707,False
DSC_5687.JPG,Pyracantha coccinea M.Roem.,Hypericum perforatum L.,0.7089,False,Punica granatum L.,0.1982,False
DSC_5692.JPG,Cenchrus purpureus (Schumach.) Morrone,Narthecium ossifragum (L.) Huds.,0.363,False,Meum athamanticum Jacq.,0.1175,False
DSC_5698.JPG,Nandina domestica Thunb.,Nandina domestica Thunb.,0.7899,True,Nandina domestica Thunb.,0.7866,True
DSC_5703.JPG,Lactuca sativa L.,Lactuca sativa L.,0.9144,True,Lactuca sativa L.,0.9137,True
