tier_group,n,k,level,top1_acc,top1_ci_lo,top1_ci_hi,top5_acc,top5_ci_lo,top5_ci_hi
Tier 1 only,68,1,species,0.45588235294117646,0.3378676421940327,0.5735294222831726,0.45588235294117646,0.3378676421940327,0.5735294222831726
Tier 1 only,68,1,genus,0.47058823529411764,0.3529411852359772,0.5886029645800587,0.47058823529411764,0.3529411852359772,0.5886029645800587
Tier 1 only,68,1,family,0.4852941176470588,0.3529411852359772,0.6176470518112183,0.4852941176470588,0.3529411852359772,0.6176470518112183
Tier 1 only,68,3,species,0.45588235294117646,0.3382352888584137,0.5735294222831726,0.5,0.38235294818878174,0.6176470518112183
Tier 1 only,68,3,genus,0.45588235294117646,0.3378676421940327,0.5735294222831726,0.6323529411764706,0.5,0.75
Tier 1 only,68,3,family,0.47058823529411764,0.3382352888584137,0.5882353186607361,0.6911764705882353,0.5735294222831726,0.7941176295280457
Tier 1 only,68,5,species,0.4117647058823529,0.29411765933036804,0.529411792755127,0.5,0.38235294818878174,0.6176470518112183
Tier 1 only,68,5,genus,0.4117647058823529,0.29411765933036804,0.529411792755127,0.6617647058823529,0.5441176295280457,0.779411792755127
Tier 1 only,68,5,family,0.4117647058823529,0.29411765933036804,0.529411792755127,0.7352941176470589,0.6319853007793427,0.8382353186607361
Tier 1+2,127,1,species,0.3779527559055118,0.29133859276771545,0.4724409580230713,0.3779527559055118,0.29133859276771545,0.4724409580230713
Tier 1+2,127,1,genus,0.4409448818897638,0.35433071851730347,0.5354330539703369,0.4409448818897638,0.35433071851730347,0.5354330539703369
Tier 1+2,127,1,family,0.44881889763779526,0.36220473051071167,0.5433070659637451,0.44881889763779526,0.36220473051071167,0.5433070659637451
Tier 1+2,127,3,species,0.3779527559055118,0.29921260476112366,0.4645669162273407,0.5039370078740157,0.4094488322734833,0.5907480478286742
Tier 1+2,127,3,genus,0.4251968503937008,0.3385826647281647,0.5118110179901123,0.6062992125984252,0.5196850299835205,0.7007874250411987
Tier 1+2,127,3,family,0.4330708661417323,0.34645670652389526,0.5196850299835205,0.6456692913385826,0.5590550899505615,0.7401574850082397
Tier 1+2,127,5,species,0.36220472440944884,0.27559053897857666,0.4566929042339325,0.5275590551181102,0.4330708682537079,0.6220472455024719
Tier 1+2,127,5,genus,0.3858267716535433,0.29921260476112366,0.4726378083229063,0.6535433070866141,0.5669291615486145,0.7401574850082397
Tier 1+2,127,5,family,0.3937007874015748,0.30708661675453186,0.4803149700164795,0.7086614173228346,0.6220472455024719,0.7952755689620972
Tier 1+2+3,226,1,species,0.3893805309734513,0.32300883531570435,0.45132744312286377,0.3893805309734513,0.32300883531570435,0.45132744312286377
Tier 1+2+3,226,1,genus,0.43805309734513276,0.36725664138793945,0.5,0.43805309734513276,0.36725664138793945,0.5
Tier 1+2+3,226,1,family,0.47345132743362833,0.40707963705062866,0.5353982448577881,0.47345132743362833,0.40707963705062866,0.5353982448577881
Tier 1+2+3,226,3,species,0.3805309734513274,0.3097345232963562,0.44247788190841675,0.504424778761062,0.43805310130119324,0.5707964897155762
Tier 1+2+3,226,3,genus,0.4469026548672566,0.3761062026023865,0.5045353710651397,0.6194690265486725,0.5575221180915833,0.6814159154891968
Tier 1+2+3,226,3,family,0.4646017699115044,0.39380529522895813,0.5265486836433411,0.6548672566371682,0.5929203629493713,0.7125000283122062
Tier 1+2+3,226,5,species,0.3584070796460177,0.29203540086746216,0.4159291982650757,0.5486725663716814,0.48661503866314887,0.6106194853782654
Tier 1+2+3,226,5,genus,0.4336283185840708,0.36725664138793945,0.4955752193927765,0.668141592920354,0.606084056198597,0.7256637215614319
Tier 1+2+3,226,5,family,0.4646017699115044,0.39823007583618164,0.5265486836433411,0.7123893805309734,0.6548672318458557,0.769911527633667
