roi_id,source_image,pred1_species,pred1_genus,pred1_conf,pred1_class_idx,pred2_species,pred2_genus,pred2_conf,pred2_class_idx,pred3_species,pred3_genus,pred3_conf,pred3_class_idx,pred4_species,pred4_genus,pred4_conf,pred4_class_idx,pred5_species,pred5_genus,pred5_conf,pred5_class_idx,top1_confidence,top1_top2_gap,top1_genus,top2_genus,genus_agreement,confidence_tier
roi_0000,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.5956,471,Anemone baldensis L.,Anemone,0.2255,474,Calochortus gunnisonii S. Watson,Calochortus,0.0586,939,Hyoscyamus albus L.,Hyoscyamus,0.0197,138,Hyoscyamus niger L.,Hyoscyamus,0.0165,139,0.5956,0.3701,Anemone,Anemone,True,TIER_3_GENUS_OK
roi_0001,Albaninė Šilagėlė.JPG,Hyoscyamus albus L.,Hyoscyamus,0.476,138,Calochortus gunnisonii S. Watson,Calochortus,0.0698,939,Anemone vernalis L.,Anemone,0.0405,492,Papaver somniferum L.,Papaver,0.0353,203,Lagenaria siceraria (Molina) Standl.,Lagenaria,0.0222,315,0.476,0.4062,Hyoscyamus,Calochortus,False,TIER_3_MODERATE
roi_0002,Albaninė Šilagėlė.JPG,Hyoscyamus albus L.,Hyoscyamus,0.465,138,Anemone alpina L.,Anemone,0.3621,471,Anemone baldensis L.,Anemone,0.0264,474,Lupinus arboreus Sims,Lupinus,0.0179,435,Hyoscyamus niger L.,Hyoscyamus,0.0163,139,0.465,0.1029,Hyoscyamus,Anemone,False,TIER_3_MODERATE
roi_0003,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.6564,471,Adonis pyrenaica DC.,Adonis,0.0556,595,Limnanthes douglasii R.Br.,Limnanthes,0.0389,433,Ophrys lupercalis Devillers & Devillers-Tersch.,Ophrys,0.0298,463,Anemone baldensis L.,Anemone,0.0286,474,0.6564,0.6008,Anemone,Adonis,False,TIER_2_GOOD
roi_0005,DSCF1430-2.JPG,Lactuca alpina (L.) Benth. & Hook.f.,Lactuca,0.075,424,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,0.0475,556,Conoclinium coelestinum (L.) DC.,Conoclinium,0.0465,736,Centranthus ruber (L.) DC.,Centranthus,0.036,240,Hebe brachysiphon Summerh.,Hebe,0.0284,408,0.075,0.0274999999999999,Lactuca,Neotinea,False,TIER_5_UNRELIABLE
roi_0006,DSCF1430-2.JPG,Pyracantha coccinea M.Roem.,Pyracantha,0.4227,499,Vismia cayennensis (Jacq.) Pers.,Vismia,0.078,607,Bonafousia undulata (Vahl) A.DC.,Bonafousia,0.0703,617,Schefflera arboricola (Hayata) Merr.,Schefflera,0.0461,694,Alocasia zebrina Schott ex Van Houtte,Alocasia,0.0454,968,0.4227,0.3447,Pyracantha,Vismia,False,TIER_3_MODERATE
roi_0010,DSCF1431-2.JPG,Trifolium fragiferum L.,Trifolium,0.4248,20,Daphne mezereum L.,Daphne,0.1284,378,Lupinus polyphyllus Lindl.,Lupinus,0.087,263,Daphne sericea Vahl,Daphne,0.0587,585,Lavandula angustifolia Mill.,Lavandula,0.0571,173,0.4248,0.2964,Trifolium,Daphne,False,TIER_3_MODERATE
roi_0016,DSCF1441-2.JPG,Trifolium pratense L.,Trifolium,0.9665,112,Trifolium medium L.,Trifolium,0.0161,546,Trifolium alpestre L.,Trifolium,0.0035,520,Viscaria alpina (L.) G.Don,Viscaria,0.0029,525,Papaver somniferum L.,Papaver,0.0018,203,0.9665,0.9504,Trifolium,Trifolium,True,TIER_1_HIGH
roi_0018,DSCF1442-2.JPG,Trifolium medium L.,Trifolium,0.5029,546,Trifolium pratense L.,Trifolium,0.2695,112,Trifolium alpinum L.,Trifolium,0.0835,521,Trifolium purpureum Loisel.,Trifolium,0.0324,113,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,0.0109,556,0.5029,0.2334,Trifolium,Trifolium,True,TIER_3_GENUS_OK
roi_0019,DSCF1442-2.JPG,Smilax aspera L.,Smilax,0.3036,205,Petiveria alliacea L.,Petiveria,0.1405,297,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,0.0972,271,Smilax rotundifolia L.,Smilax,0.0937,575,Chaerophyllum temulum L.,Chaerophyllum,0.0448,144,0.3036,0.1630999999999999,Smilax,Petiveria,False,TIER_4_LOW
