roi_id,source_image,final_species,final_genus,label_source,label_confidence,confidence_tier,top1_confidence
roi_0000,Albaninė Šilagėlė.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.5956
roi_0001,Albaninė Šilagėlė.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_3_MODERATE,0.476
roi_0002,Albaninė Šilagėlė.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_3_MODERATE,0.465
roi_0003,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,good_confidence_local,high,TIER_2_GOOD,0.6564
roi_0005,DSCF1430-2.JPG,Lactuca sp. (uncertain),Lactuca,local_uncertain,low,TIER_5_UNRELIABLE,0.075
roi_0006,DSCF1430-2.JPG,Pyracantha sp. (uncertain),Pyracantha,local_uncertain,low,TIER_3_MODERATE,0.4227
roi_0010,DSCF1431-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_MODERATE,0.4248
roi_0016,DSCF1441-2.JPG,Trifolium pratense L.,Trifolium,high_confidence_local,high,TIER_1_HIGH,0.9665
roi_0018,DSCF1442-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_GENUS_OK,0.5029
roi_0019,DSCF1442-2.JPG,Smilax sp. (uncertain),Smilax,local_uncertain,low,TIER_4_LOW,0.3036
roi_0022,DSCF1486-2.JPG,Nandina sp. (uncertain),Nandina,local_uncertain,low,TIER_3_MODERATE,0.4528
roi_0023,DSCF1487-2.JPG,Calycanthus floridus L.,Calycanthus,high_confidence_local,high,TIER_1_HIGH,0.9041
roi_0025,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.9737
roi_0026,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.9997
roi_0027,DSCF1505-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_4_LOW,0.2723
roi_0029,DSCF1506-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_3_GENUS_OK,0.4392
roi_0032,DSCF1511-2.JPG,Calendula officinalis L.,Calendula,good_confidence_local,high,TIER_2_GOOD,0.7741
roi_0034,DSCF1512-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_4_LOW,0.2524
roi_0035,DSCF1532-2.JPG,Punica granatum L.,Punica,good_confidence_local,high,TIER_2_GOOD,0.7939
roi_0036,DSCF1532-2.JPG,Punica sp. (uncertain),Punica,local_uncertain,low,TIER_5_UNRELIABLE,0.1814
roi_0037,DSCF1541-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_3_GENUS_OK,0.4037
roi_0038,DSCF1560-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_5_UNRELIABLE,0.1675
roi_0039,DSCF1560-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2409
roi_0040,DSCF1560-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.3293
roi_0041,DSCF1560-2.JPG,Centranthus sp. (uncertain),Centranthus,local_uncertain,low,TIER_5_UNRELIABLE,0.1316
roi_0042,DSCF1560-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.3186
roi_0043,DSCF1560-2.JPG,Hebe sp. (uncertain),Hebe,local_uncertain,low,TIER_4_LOW,0.3915
