roi_id,source_image,validated_species,validated_genus,validation_method,validation_strength,include_in_metrics
roi_0000,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,moderate_with_genus_agreement,moderate,True
roi_0001,Albaninė Šilagėlė.JPG,Hyoscyamus albus L.,Hyoscyamus,unvalidated,weak,False
roi_0002,Albaninė Šilagėlė.JPG,Hyoscyamus albus L.,Hyoscyamus,unvalidated,weak,False
roi_0003,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,good_confidence_local,strong,True
roi_0005,DSCF1430-2.JPG,Lactuca alpina (L.) Benth. & Hook.f.,Lactuca,unvalidated,weak,False
roi_0006,DSCF1430-2.JPG,Pyracantha coccinea M.Roem.,Pyracantha,unvalidated,weak,False
roi_0010,DSCF1431-2.JPG,Trifolium fragiferum L.,Trifolium,unvalidated,weak,False
roi_0016,DSCF1441-2.JPG,Trifolium pratense L.,Trifolium,high_confidence_local,strong,True
roi_0018,DSCF1442-2.JPG,Trifolium medium L.,Trifolium,moderate_with_genus_agreement,moderate,True
roi_0019,DSCF1442-2.JPG,Smilax aspera L.,Smilax,unvalidated,weak,False
roi_0022,DSCF1486-2.JPG,Nandina domestica Thunb.,Nandina,unvalidated,weak,False
roi_0023,DSCF1487-2.JPG,Calycanthus floridus L.,Calycanthus,high_confidence_local,strong,True
roi_0025,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0026,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,strong,True
roi_0027,DSCF1505-2.JPG,Pelargonium zonale (L.) L'Hér.,Pelargonium,unvalidated,weak,False
roi_0029,DSCF1506-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,moderate_with_genus_agreement,moderate,True
roi_0032,DSCF1511-2.JPG,Calendula officinalis L.,Calendula,good_confidence_local,strong,True
roi_0034,DSCF1512-2.JPG,Pelargonium zonale (L.) L'Hér.,Pelargonium,unvalidated,weak,False
roi_0035,DSCF1532-2.JPG,Punica granatum L.,Punica,good_confidence_local,strong,True
roi_0036,DSCF1532-2.JPG,Punica granatum L.,Punica,unvalidated,weak,False
roi_0037,DSCF1541-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,moderate_with_genus_agreement,moderate,True
roi_0038,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,unvalidated,weak,False
roi_0039,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,unvalidated,weak,False
roi_0040,DSCF1560-2.JPG,Daphne cneorum L.,Daphne,unvalidated,weak,False
roi_0041,DSCF1560-2.JPG,Centranthus ruber (L.) DC.,Centranthus,unvalidated,weak,False
roi_0042,DSCF1560-2.JPG,Daphne cneorum L.,Daphne,unvalidated,weak,False
roi_0043,DSCF1560-2.JPG,Hebe salicifolia (G.Forst.) Pennell,Hebe,unvalidated,weak,False
roi_0044,DSCF1563-2.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,unvalidated,weak,False
roi_0045,DSCF1563-2.JPG,Trifolium pratense L.,Trifolium,good_confidence_local,strong,True
roi_0046,DSCF1563-2.JPG,Trifolium badium Schreb.,Trifolium,moderate_with_genus_agreement,moderate,True
roi_0047,DSCF1563-2.JPG,Daphne cneorum L.,Daphne,good_confidence_local,strong,True
roi_0050,DSCF1564-2.JPG,Calycanthus floridus L.,Calycanthus,unvalidated,weak,False
roi_0051,DSCF1564-2.JPG,Trifolium pratense L.,Trifolium,unvalidated,weak,False
roi_0054,DSCF1564-2.JPG,Daphne cneorum L.,Daphne,unvalidated,weak,False
roi_0055,DSCF1571-2.JPG,Trifolium pratense L.,Trifolium,moderate_with_genus_agreement,moderate,True
roi_0056,DSCF1571-2.JPG,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,unvalidated,weak,False
roi_0057,DSCF1571-2.JPG,Daphne mezereum L.,Daphne,unvalidated,weak,False
roi_0058,DSCF1573-2.JPG,Cobaea scandens Cav.,Cobaea,high_confidence_local,strong,True
roi_0059,DSCF1573-2.JPG,Calycanthus floridus L.,Calycanthus,high_confidence_local,strong,True
roi_0060,DSCF1573-2.JPG,Trifolium alpestre L.,Trifolium,moderate_with_genus_agreement,moderate,True
roi_0061,DSCF1573-2.JPG,Trifolium badium Schreb.,Trifolium,unvalidated,weak,False
roi_0062,DSCF1573-2.JPG,Trifolium pratense L.,Trifolium,high_confidence_local,strong,True
roi_0063,DSCF1575-2.JPG,Pereskia grandifolia Haw.,Pereskia,unvalidated,weak,False
roi_0064,DSCF1575-2.JPG,Cobaea scandens Cav.,Cobaea,good_confidence_local,strong,True
roi_0065,DSCF1575-2.JPG,Daphne mezereum L.,Daphne,unvalidated,weak,False
roi_0066,DSCF1575-2.JPG,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,unvalidated,weak,False
roi_0067,DSCF1575-2.JPG,Trifolium badium Schreb.,Trifolium,unvalidated,weak,False
roi_0068,DSCF1575-2.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,high_confidence_local,strong,True
roi_0069,DSCF1575-2.JPG,Daphne laureola L.,Daphne,unvalidated,weak,False
roi_0073,DSCF8139-2.JPG,Garrya elliptica Douglas ex Lindl.,Garrya,good_confidence_local,strong,True
roi_0074,DSCF8139-2.JPG,Pelargonium tomentosum Jacq.,Pelargonium,unvalidated,weak,False
roi_0077,DSCF8141-2.JPG,Centranthus calcitrapae (L.) Dufr.,Centranthus,unvalidated,weak,False
roi_0079,DSCF8141-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,unvalidated,weak,False
roi_0080,DSCF8141-2.JPG,Daphne laureola L.,Daphne,good_confidence_local,strong,True
roi_0084,DSCF8145-2.JPG,Hyoscyamus albus L.,Hyoscyamus,high_confidence_local,strong,True
roi_0093,DSCF8151-2.JPG,Centranthus calcitrapae (L.) Dufr.,Centranthus,unvalidated,weak,False
roi_0098,DSCF8154-2.JPG,Daphne mezereum L.,Daphne,unvalidated,weak,False
roi_0105,DSCF8155-2.JPG,Daucus carota L.,Daucus,unvalidated,weak,False
roi_0111,DSCF8157-2.JPG,Lapsana communis L.,Lapsana,unvalidated,weak,False
roi_0113,DSCF8158-2.JPG,Lamium galeobdolon (L.) L.,Lamium,unvalidated,weak,False
roi_0114,DSCF8158-2.JPG,Trifolium arvense L.,Trifolium,unvalidated,weak,False
roi_0119,DSCF8161-2.JPG,Schefflera arboricola (Hayata) Merr.,Schefflera,unvalidated,weak,False
roi_0120,DSCF8161-2.JPG,Moehringia trinervia (L.) Clairv.,Moehringia,unvalidated,weak,False
roi_0123,DSCF8163-2.JPG,Pelargonium sidoides DC.,Pelargonium,unvalidated,weak,False
roi_0128,DSC_0036.JPG,Acacia mearnsii De Wild.,Acacia,unvalidated,weak,False
roi_0130,DSC_5562[.jpg,Sedum acre L.,Sedum,unvalidated,weak,False
roi_0131,DSC_5566.JPG,Lavandula angustifolia Mill.,Lavandula,unvalidated,weak,False
roi_0132,DSC_5566.JPG,Cucurbita moschata Duchesne,Cucurbita,unvalidated,weak,False
roi_0133,DSC_5566.JPG,Hyoscyamus albus L.,Hyoscyamus,unvalidated,weak,False
roi_0134,DSC_5566.JPG,Dalbergia melanoxylon Guill. & Perr.,Dalbergia,good_confidence_local,strong,True
roi_0135,DSC_5566.JPG,Lactuca serriola L.,Lactuca,unvalidated,weak,False
roi_0136,DSC_5575.JPG,Sedum morganianum E.Walther,Sedum,unvalidated,weak,False
roi_0137,DSC_5575.JPG,Elodea canadensis Michx.,Elodea,unvalidated,weak,False
roi_0138,DSC_5575.JPG,Acacia baileyana F.Muell.,Acacia,high_confidence_local,strong,True
roi_0139,DSC_5575.JPG,Acacia baileyana F.Muell.,Acacia,unvalidated,weak,False
roi_0140,DSC_5575.JPG,Mercurialis tomentosa L.,Mercurialis,unvalidated,weak,False
roi_0141,DSC_5677.JPG,Kniphofia uvaria (L.) Hook.,Kniphofia,moderate_with_genus_agreement,moderate,True
roi_0143,DSC_5680.JPG,Humulus lupulus L.,Humulus,good_confidence_local,strong,True
roi_0144,DSC_5681.JPG,Hypericum androsaemum L.,Hypericum,unvalidated,weak,False
roi_0145,DSC_5681.JPG,Dryas octopetala L.,Dryas,good_confidence_local,strong,True
roi_0146,DSC_5681.JPG,Anemone alpina L.,Anemone,unvalidated,weak,False
roi_0152,DSC_5683.JPG,Pelargonium inquinans (L.) Aiton,Pelargonium,good_confidence_local,strong,True
roi_0154,DSC_5687.JPG,Holodiscus discolor (Pursh) Maxim.,Holodiscus,unvalidated,weak,False
roi_0155,DSC_5687.JPG,Pyracantha coccinea M.Roem.,Pyracantha,unvalidated,weak,False
roi_0157,DSC_5690.JPG,Humulus lupulus L.,Humulus,good_confidence_local,strong,True
roi_0158,DSC_5691.JPG,Acacia saligna (Labill.) H.L.Wendl.,Acacia,good_confidence_local,strong,True
roi_0159,DSC_5691.JPG,Limbarda crithmoides (L.) Dumort.,Limbarda,unvalidated,weak,False
roi_0160,DSC_5691.JPG,Nothofagus antarctica (G.Forst.) Oerst.,Nothofagus,unvalidated,weak,False
roi_0161,DSC_5692.JPG,Limbarda crithmoides (L.) Dumort.,Limbarda,unvalidated,weak,False
roi_0162,DSC_5692.JPG,Metasequoia glyptostroboides Hu & W.C.Cheng,Metasequoia,unvalidated,weak,False
roi_0163,DSC_5692.JPG,Cenchrus purpureus (Schumach.) Morrone,Cenchrus,unvalidated,weak,False
roi_0164,DSC_5698.JPG,Lactuca alpina (L.) Benth. & Hook.f.,Lactuca,high_confidence_local,strong,True
roi_0165,DSC_5701.JPG,Trifolium dubium Sibth.,Trifolium,unvalidated,weak,False
roi_0166,DSC_5703.JPG,Sedum caeruleum L.,Sedum,good_confidence_local,strong,True
roi_0167,DSC_5710.JPG,Acacia baileyana F.Muell.,Acacia,unvalidated,weak,False
roi_0168,DSC_5710.JPG,Nothofagus pumilio (Poepp. & Endl.) Krasser,Nothofagus,unvalidated,weak,False
roi_0169,DSC_5710.JPG,Nothofagus dombeyi (Mirb.) Oerst.,Nothofagus,unvalidated,weak,False
roi_0170,DSC_5710.JPG,Metasequoia glyptostroboides Hu & W.C.Cheng,Metasequoia,unvalidated,weak,False
roi_0171,DSC_5710.JPG,Acacia baileyana F.Muell.,Acacia,moderate_with_genus_agreement,moderate,True
