image,true_species,full_image_pred,full_image_conf,full_image_correct,roi_pred,roi_conf,roi_correct
Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone alpina L.,0.649,True,Anemone alpina L.,0.5956,True
DSCF1441-2.JPG,Trifolium pratense L.,Trifolium pratense L.,0.5591,True,Trifolium pratense L.,0.9665,True
DSCF1487-2.JPG,Calycanthus floridus L.,Calycanthus floridus L.,0.65,True,Calycanthus floridus L.,0.9041,True
DSCF1504-2.JPG,Punica granatum L.,Punica granatum L.,0.9642,True,Punica granatum L.,0.9737,True
DSCF1532-2.JPG,Punica granatum L.,Punica granatum L.,0.1808,True,Punica granatum L.,0.7939,True
DSCF1563-2.JPG,Trifolium pratense L.,Hebe salicifolia (G.Forst.) Pennell,0.3413,False,Trachelospermum jasminoides (Lindl.) Lem.,0.4844,False
DSCF1573-2.JPG,Cobaea scandens Cav.,Cryptostegia madagascariensis Bojer ex Decne.,0.1908,False,Cobaea scandens Cav.,0.8282,True
DSCF1575-2.JPG,Cobaea scandens Cav.,Hebe salicifolia (G.Forst.) Pennell,0.2574,False,Pereskia grandifolia Haw.,0.102,False
DSC_5566.JPG,Dalbergia melanoxylon Guill. & Perr.,Papaver alpinum L.,0.239,False,Lavandula angustifolia Mill.,0.2949,False
DSC_5575.JPG,Acacia baileyana F.Muell.,Papaver alpinum L.,0.1634,False,Sedum morganianum E.Walther,0.5819,False
DSC_5680.JPG,Humulus lupulus L.,Humulus lupulus L.,0.7308,True,Humulus lupulus L.,0.7473,True
DSC_5681.JPG,Dryas octopetala L.,Anemone alpina L.,0.2837,False,Hypericum androsaemum L.,0.3581,False
DSC_5690.JPG,Humulus lupulus L.,Humulus lupulus L.,0.6555,True,Humulus lupulus L.,0.7917,True
DSC_5691.JPG,Acacia saligna (Labill.) H.L.Wendl.,Limbarda crithmoides (L.) Dumort.,0.5772,False,Acacia saligna (Labill.) H.L.Wendl.,0.7267,True
DSC_5698.JPG,Lactuca alpina (L.) Benth. & Hook.f.,Lactuca alpina (L.) Benth. & Hook.f.,0.859,True,Lactuca alpina (L.) Benth. & Hook.f.,0.8586,True
DSC_5703.JPG,Sedum caeruleum L.,Sedum caeruleum L.,0.7539,True,Sedum caeruleum L.,0.7576,True
DSC_5770.JPG,Sedum acre L.,Sedum acre L.,0.4299,True,Sedum acre L.,0.4287,True
DSC_5783sds.JPG,Acacia dealbata Link,Acacia dealbata Link,0.773,True,Acacia dealbata Link,0.73,True
DSC_8394124.JPG,Acacia dealbata Link,Sedum acre L.,0.8179,False,Acacia dealbata Link,0.9855,True
DSC_8400.JPG,Anemone hepatica L.,Anemone hepatica L.,0.9863,True,Anemone hepatica L.,0.4838,True
DSC_8404.JPG,Myosoton aquaticum (L.) Moench,Mercurialis annua L.,0.2252,False,Myosoton aquaticum (L.) Moench,0.7282,True
DSC_8408.JPG,Lavandula stoechas L.,Daphne cneorum L.,0.3624,False,Daphne cneorum L.,0.2826,False
DSC_8626.JPG,Anemone pulsatilla L.,Anemone pulsatilla L.,0.9862,True,Anemone pulsatilla L.,0.9253,True
DSC_8630.JPG,Anemone alpina L.,Anemone alpina L.,0.994,True,Phyllanthus phillyreifolius Poir.,0.0713,False
DSC_8634.JPG,Anemone alpina L.,Anemone alpina L.,0.8475,True,Anemone alpina L.,0.9073,True
DSC_8635.JPG,Anemone alpina L.,Anemone alpina L.,0.9152,True,Anemone alpina L.,0.1376,True
DSC_8636.JPG,Anemone vernalis L.,Anemone pulsatilla L.,0.6021,False,Anemone vernalis L.,0.6462,True
DSC_8637.JPG,Anemone pulsatilla L.,Anemone pulsatilla L.,0.6258,True,Anemone pulsatilla L.,0.6044,True
DSC_8639.JPG,Sedum acre L.,Anemone pulsatilla L.,0.692,False,Sedum acre L.,0.7257,True
DSC_8644.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Anemone alpina L.,0.5142,False,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0.7814,True
DSC_8646.JPG,Anemone halleri All.,Anemone alpina L.,0.6326,False,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0.354,False
DSC_8654.JPG,Lamium galeobdolon (L.) L.,Lamium galeobdolon (L.) L.,0.8283,True,Ophrys fusca Link,0.0864,False
DSC_8657.JPG,Anemone pulsatilla L.,Anemone pulsatilla L.,0.5338,True,Anemone pulsatilla L.,0.751,True
DSC_8658.JPG,Anemone pulsatilla L.,Anemone pulsatilla L.,0.9788,True,Daucus carota L.,0.2866,False
DSC_8661.JPG,Lavandula angustifolia Mill.,Lavandula angustifolia Mill.,0.7883,True,Lavandula angustifolia Mill.,0.8739,True
DSC_8711.JPG,Trifolium dubium Sibth.,Sedum acre L.,0.3336,False,Trifolium dubium Sibth.,0.9563,True
DSC_8747.JPG,Trifolium campestre Schreb.,Trifolium dubium Sibth.,0.2096,False,Trifolium campestre Schreb.,0.5439,True
DSC_8908.JPG,Daphne mezereum L.,Barbarea vulgaris R.Br.,0.5492,False,Pelargonium inquinans (L.) Aiton,0.2421,False
DSC_8909.JPG,Sedum acre L.,Nymphaea alba L.,0.5617,False,Sedum acre L.,0.7166,True
DSC_8920.JPG,Melilotus albus Medik.,Phalaris canariensis L.,0.7168,False,Melilotus albus Medik.,0.6268,True
DSC_8926.JPG,Eritrichium nanum (L.) Schrad. ex Gaudin,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0.8793,False,Fragaria vesca L.,0.5752,False
DSC_8931.JPG,Limbarda crithmoides (L.) Dumort.,Pyracantha coccinea M.Roem.,0.2572,False,Sagittaria sagittifolia L.,0.4072,False
DSC_8932.JPG,Cenchrus setaceus (Forssk.) Morrone,Nymphoides peltata (S.G.Gmel.) Kuntze,0.2602,False,Melilotus officinalis (L.) Lam.,0.2221,False
