tier_group,n,k,level,top1_acc,top1_ci_lo,top1_ci_hi,top5_acc,top5_ci_lo,top5_ci_hi
Tier 1 only,75,1,species,0.4666666666666667,0.36000001430511475,0.5736666560173032,0.4666666666666667,0.36000001430511475,0.5736666560173032
Tier 1 only,75,1,genus,0.5066666666666667,0.4000000059604645,0.6266666650772095,0.5066666666666667,0.4000000059604645,0.6266666650772095
Tier 1 only,75,1,family,0.56,0.4533333480358124,0.6800000071525574,0.56,0.4533333480358124,0.6800000071525574
Tier 1 only,75,3,species,0.41333333333333333,0.30666667222976685,0.5333333611488342,0.5333333333333333,0.4266666769981384,0.6403333187103268
Tier 1 only,75,3,genus,0.5066666666666667,0.3866666555404663,0.6266666650772095,0.64,0.5333333611488342,0.7599999904632568
Tier 1 only,75,3,family,0.56,0.4533333480358124,0.6666666865348816,0.6933333333333334,0.5996666893363,0.800000011920929
Tier 1 only,75,5,species,0.37333333333333335,0.2666666805744171,0.4933333396911621,0.5733333333333334,0.46666666865348816,0.6933333277702332
Tier 1 only,75,5,genus,0.4266666666666667,0.3199999928474426,0.54666668176651,0.6933333333333334,0.5996666893363,0.800000011920929
Tier 1 only,75,5,family,0.4666666666666667,0.36000001430511475,0.5866666436195374,0.7466666666666667,0.653333306312561,0.8399999737739563
Tier 1+2,145,1,species,0.41379310344827586,0.33103448152542114,0.48965516686439514,0.41379310344827586,0.33103448152542114,0.48965516686439514
Tier 1+2,145,1,genus,0.503448275862069,0.4275861978530884,0.5862069129943848,0.503448275862069,0.4275861978530884,0.5862069129943848
Tier 1+2,145,1,family,0.5379310344827586,0.46206897497177124,0.6206896305084229,0.5379310344827586,0.46206897497177124,0.6206896305084229
Tier 1+2,145,3,species,0.42758620689655175,0.35172414779663086,0.5103448033332825,0.5586206896551724,0.48275861144065857,0.634482741355896
Tier 1+2,145,3,genus,0.4896551724137931,0.4137931168079376,0.565517246723175,0.6620689655172414,0.5862069129943848,0.7379310131072998
Tier 1+2,145,3,family,0.5103448275862069,0.4412068948149681,0.5862069129943848,0.6827586206896552,0.613620662689209,0.751724123954773
Tier 1+2,145,5,species,0.4,0.32413792610168457,0.475862056016922,0.5862068965517241,0.5103448033332825,0.6551724076271057
Tier 1+2,145,5,genus,0.45517241379310347,0.37931033968925476,0.5310344696044922,0.6827586206896552,0.6137930750846863,0.751724123954773
Tier 1+2,145,5,family,0.47586206896551725,0.40689656138420105,0.5586206912994385,0.7310344827586207,0.6620689630508423,0.800000011920929
Tier 1+2+3,259,1,species,0.3474903474903475,0.29343628883361816,0.4092664122581482,0.3474903474903475,0.29343628883361816,0.4092664122581482
Tier 1+2+3,259,1,genus,0.4092664092664093,0.3513513505458832,0.4671814739704132,0.4092664092664093,0.3513513505458832,0.4671814739704132
Tier 1+2+3,259,1,family,0.444015444015444,0.3861003816127777,0.5019304752349854,0.444015444015444,0.3861003816127777,0.5019304752349854
Tier 1+2+3,259,3,species,0.3359073359073359,0.27799227833747864,0.39768341183662415,0.5057915057915058,0.4478764533996582,0.5675675868988037
Tier 1+2+3,259,3,genus,0.4015444015444015,0.33976835012435913,0.46332046389579773,0.6023166023166023,0.5405405163764954,0.6602316498756409
Tier 1+2+3,259,3,family,0.4555984555984556,0.39382240176200867,0.5173745155334473,0.6486486486486487,0.5907335877418518,0.7027027010917664
Tier 1+2+3,259,5,species,0.3127413127413127,0.25868725776672363,0.3706563711166382,0.5521235521235521,0.4903475046157837,0.6177605986595154
Tier 1+2+3,259,5,genus,0.3745173745173745,0.31274130940437317,0.43629342317581177,0.6525096525096525,0.5944980725646019,0.7104247212409973
Tier 1+2+3,259,5,family,0.40540540540540543,0.3474903404712677,0.4671814739704132,0.7027027027027027,0.6447876691818237,0.7567567825317383
