image_id,total_rois,unique_genera,unique_species,genera_list,species_list,is_multi_genus,is_multi_species
Albaninė Šilagėlė.JPG,4,4,4,"Hyoscyamus, Papaver, Dendrobium, Anemone","Hyoscyamus albus L., Papaver sp. (uncertain), Dendrobium sp. (uncertain), Anemone sp. (uncertain)",True,True
DSCF1430-2.JPG,5,2,2,"Centranthus, Alocasia","Centranthus sp. (uncertain), Alocasia zebrina Schott ex Van Houtte",True,True
DSCF1431-2.JPG,7,1,1,Tradescantia,Tradescantia sp. (uncertain),False,False
DSCF1441-2.JPG,2,1,1,Trifolium,Trifolium pratense L.,False,False
DSCF1442-2.JPG,4,2,2,"Daphne, Petiveria","Daphne sp. (uncertain), Petiveria sp. (uncertain)",True,True
DSCF1487-2.JPG,2,1,1,Punica,Punica granatum L.,False,False
DSCF1504-2.JPG,2,2,2,"Pelargonium, Punica","Pelargonium sp. (uncertain), Punica granatum L.",True,True
DSCF1505-2.JPG,2,1,1,Punica,Punica granatum L.,False,False
DSCF1511-2.JPG,4,1,1,Calycanthus,Calycanthus floridus L.,False,False
DSCF1532-2.JPG,2,1,2,Punica,"Punica sp. (uncertain), Punica granatum L.",False,True
DSCF1560-2.JPG,6,5,6,"Trifolium, Daphne, Dendrobium, Pelargonium, Hebe","Trifolium sp. (uncertain), Daphne sp. (uncertain), Trifolium pratense L., Dendrobium sp. (uncertain), Pelargonium sp. (uncertain), Hebe sp. (uncertain)",True,True
DSCF1563-2.JPG,5,4,4,"Lamium, Zamioculcas, Lupinus, Hebe","Lamium sp. (uncertain), Zamioculcas sp. (uncertain), Lupinus polyphyllus Lindl., Hebe sp. (uncertain)",True,True
DSCF1564-2.JPG,6,3,3,"Pereskia, Freesia, Daphne","Pereskia sp. (uncertain), Freesia sp. (uncertain), Daphne sp. (uncertain)",True,True
DSCF1571-2.JPG,3,3,3,"Trifolium, Papaver, Daphne","Trifolium sp. (uncertain), Papaver somniferum L., Daphne sp. (uncertain)",True,True
DSCF1573-2.JPG,5,4,5,"Lupinus, Hypericum, Cobaea, Freesia","Lupinus sp. (uncertain), Hypericum sp. (uncertain), Cobaea sp. (uncertain), Freesia sp. (uncertain), Freesia refracta (Jacq.) Klatt",True,True
DSCF1575-2.JPG,7,7,7,"Daphne, Tradescantia, Pelargonium, Hebe, Lupinus, Barringtonia, Pereskia","Daphne sp. (uncertain), Tradescantia sp. (uncertain), Pelargonium sp. (uncertain), Hebe sp. (uncertain), Lupinus sp. (uncertain), Barringtonia sp. (uncertain), Pereskia sp. (uncertain)",True,True
DSCF8139-2.JPG,6,2,2,"Daphne, Epipactis","Daphne sp. (uncertain), Epipactis sp. (uncertain)",True,True
