roi_id,source_image,pred1_species,pred1_genus,pred1_conf,pred1_class_idx,pred2_species,pred2_genus,pred2_conf,pred2_class_idx,pred3_species,pred3_genus,pred3_conf,pred3_class_idx,pred4_species,pred4_genus,pred4_conf,pred4_class_idx,pred5_species,pred5_genus,pred5_conf,pred5_class_idx,top1_confidence,top1_top2_gap,top1_genus,top2_genus,genus_agreement,confidence_tier
roi_0000,Albaninė Šilagėlė.JPG,Hyoscyamus albus L.,Hyoscyamus,0.4796,138,Anemone alpina L.,Anemone,0.295,471,Ophrys lutea Cav.,Ophrys,0.0453,165,Adonis microcarpa DC.,Adonis,0.0282,134,Papaver alpinum L.,Papaver,0.0205,475,0.4796,0.1846,Hyoscyamus,Anemone,False,TIER_3_MODERATE
roi_0001,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.4093,471,Papaver alpinum L.,Papaver,0.2702,475,Fragaria × ananassa (Duchesne ex Weston) Duchesne ex Rozier,Fragaria,0.117,1061,Anemone baldensis L.,Anemone,0.0805,474,Papaver croceum Ledeb.,Papaver,0.0279,476,0.4093,0.1391,Anemone,Papaver,False,TIER_3_MODERATE
roi_0002,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,0.9377,471,Anemone baldensis L.,Anemone,0.0106,474,Anemone ranunculoides L.,Anemone,0.0074,532,Crotalaria chrysochlora Baker f. ex Harms,Crotalaria,0.0065,257,Anemone vernalis L.,Anemone,0.005,492,0.9377,0.9271,Anemone,Anemone,True,TIER_1_HIGH
roi_0003,Albaninė Šilagėlė.JPG,Anemone baldensis L.,Anemone,0.4786,474,Anemone alpina L.,Anemone,0.1742,471,Limnanthes douglasii R.Br.,Limnanthes,0.1022,433,Adonis pyrenaica DC.,Adonis,0.0267,595,Lupinus arboreus Sims,Lupinus,0.0249,435,0.4786,0.3044,Anemone,Anemone,True,TIER_3_GENUS_OK
roi_0005,DSCF1430-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.1108,919,Wigandia caracasana Kunth,Wigandia,0.0965,178,Viscaria alpina (L.) G.Don,Viscaria,0.0908,525,Wigandia urens (Ruiz & Pav.) Kunth,Wigandia,0.0587,302,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,0.0568,556,0.1108,0.0142999999999999,Pelargonium,Wigandia,False,TIER_5_UNRELIABLE
roi_0006,DSCF1430-2.JPG,Alocasia zebrina Schott ex Van Houtte,Alocasia,0.4901,968,Anthurium andraeanum Linden ex André,Anthurium,0.0787,702,Bocoa prouacensis Aubl.,Bocoa,0.0231,601,Xylopia nitida Dunal,Xylopia,0.0196,612,Vismia cayennensis (Jacq.) Pers.,Vismia,0.0166,607,0.4901,0.4114,Alocasia,Anthurium,False,TIER_3_MODERATE
roi_0010,DSCF1431-2.JPG,Daphne mezereum L.,Daphne,0.2645,378,Hebe andersonii (Lindl. & Paxton) Cockayne,Hebe,0.145,407,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.0889,1056,Cryptostegia madagascariensis Bojer ex Decne.,Cryptostegia,0.077,640,Tradescantia zebrina Bosse,Tradescantia,0.0483,561,0.2645,0.1195,Daphne,Hebe,False,TIER_4_LOW
roi_0016,DSCF1441-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.6891,919,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.0917,8,Trifolium pratense L.,Trifolium,0.0446,112,Pelargonium x hortorum L.H. Bailey,Pelargonium,0.0339,832,"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,0.0221,556,0.6891,0.5974,Pelargonium,Pelargonium,True,TIER_2_GOOD
roi_0018,DSCF1442-2.JPG,Trifolium pratense L.,Trifolium,0.2046,112,Daphne striata Tratt.,Daphne,0.1314,379,Daphne odora Thunb.,Daphne,0.1126,860,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0829,919,Pereskia grandifolia Haw.,Pereskia,0.0615,673,0.2046,0.0732,Trifolium,Daphne,False,TIER_4_LOW
roi_0019,DSCF1442-2.JPG,Petiveria alliacea L.,Petiveria,0.1292,297,Acalypha integrifolia Willd.,Acalypha,0.1138,682,Pongamia pinnata (L.) Pierre,Pongamia,0.1053,678,Mussaenda arcuata Poir.,Mussaenda,0.0582,668,Achyranthes aspera L.,Achyranthes,0.0288,29,0.1292,0.0154,Petiveria,Acalypha,False,TIER_5_UNRELIABLE
roi_0022,DSCF1486-2.JPG,Nandina domestica Thunb.,Nandina,0.8397,706,Punica granatum L.,Punica,0.0786,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0142,483,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,0.0119,271,Mussaenda philippica A.Rich.,Mussaenda,0.0108,853,0.8397,0.7611,Nandina,Punica,False,TIER_1_HIGH
roi_0023,DSCF1487-2.JPG,Punica granatum L.,Punica,0.948,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0152,483,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.0106,277,Pereskia bleo (Kunth) DC.,Pereskia,0.0044,633,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.003,919,0.948,0.9328,Punica,Pelargonium,False,TIER_1_HIGH
roi_0025,DSCF1504-2.JPG,Punica granatum L.,Punica,0.3739,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.3457,483,Pelargonium peltatum (L.) L'Hér.,Pelargonium,0.091,6,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.0569,8,Pelargonium peltatum (L.) Aiton,Pelargonium,0.0542,484,0.3739,0.0282,Punica,Pelargonium,False,TIER_4_LOW
roi_0026,DSCF1504-2.JPG,Punica granatum L.,Punica,0.9848,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0017,483,Anemone coronaria L.,Anemone,0.0013,135,Papaver somniferum L.,Papaver,0.001,203,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0008,919,0.9848,0.9831,Punica,Pelargonium,False,TIER_1_HIGH
roi_0027,DSCF1505-2.JPG,Punica granatum L.,Punica,0.9114,122,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0239,919,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0229,483,Pelargonium × hortorum L.H. Bailey,Pelargonium,0.014,1017,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.0102,8,0.9114,0.8875,Punica,Pelargonium,False,TIER_1_HIGH
roi_0029,DSCF1506-2.JPG,Punica granatum L.,Punica,0.5799,122,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.1673,919,Pelargonium inquinans (L.) Aiton,Pelargonium,0.1271,483,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.0511,8,Pelargonium x hortorum L.H. Bailey,Pelargonium,0.0231,832,0.5799,0.4125999999999999,Punica,Pelargonium,False,TIER_3_MODERATE
roi_0032,DSCF1511-2.JPG,Calycanthus floridus L.,Calycanthus,0.484,564,Tradescantia zebrina Bosse,Tradescantia,0.0762,561,Lamium orvala L.,Lamium,0.0632,586,Mussaenda erythrophylla Schumach. & Thonn.,Mussaenda,0.0361,277,Anthurium andraeanum Linden ex André,Anthurium,0.0333,702,0.484,0.4078,Calycanthus,Tradescantia,False,TIER_3_MODERATE
roi_0034,DSCF1512-2.JPG,Punica granatum L.,Punica,0.9951,122,Pelargonium inquinans (L.) Aiton,Pelargonium,0.0022,483,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.0008,919,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.0008,8,Pereskia bleo (Kunth) DC.,Pereskia,0.0002,633,0.9951,0.9929,Punica,Pelargonium,False,TIER_1_HIGH
roi_0035,DSCF1532-2.JPG,Punica granatum L.,Punica,0.5308,122,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,0.1522,271,Lamium galeobdolon (L.) L.,Lamium,0.0942,172,Lapsana communis L.,Lapsana,0.0232,245,Smilax bona-nox L.,Smilax,0.0224,930,0.5308,0.3786,Punica,Trachelospermum,False,TIER_3_MODERATE
roi_0036,DSCF1532-2.JPG,Punica granatum L.,Punica,0.9712,122,Kniphofia uvaria (L.) Hook.,Kniphofia,0.0088,423,Calendula officinalis L.,Calendula,0.003,35,Kniphofia uvaria (L.) Oken,Kniphofia,0.0012,863,Freesia x hybrida L.H.Bailey,Freesia,0.0011,400,0.9712,0.9624,Punica,Kniphofia,False,TIER_1_HIGH
roi_0037,DSCF1541-2.JPG,Pelargonium inquinans (L.) Aiton,Pelargonium,0.4225,483,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,0.3008,919,Pelargonium zonale (L.) L'Hér.,Pelargonium,0.1339,8,Punica granatum L.,Punica,0.0738,122,Pelargonium × hortorum L.H. Bailey,Pelargonium,0.0249,1017,0.4225,0.1216999999999999,Pelargonium,Pelargonium,True,TIER_3_GENUS_OK
roi_0038,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,0.7579,112,Trifolium medium L.,Trifolium,0.091,546,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.0242,1056,Daphne odora Thunb.,Daphne,0.0166,860,Phedimus spurius (M.Bieb) 't Hart,Phedimus,0.0136,334,0.7579,0.6669,Trifolium,Trifolium,True,TIER_2_GOOD
roi_0039,DSCF1560-2.JPG,Hebe salicifolia (G.Forst.) Pennell,Hebe,0.2149,410,Trifolium pratense L.,Trifolium,0.1563,112,Hebe andersonii (Lindl. & Paxton) Cockayne,Hebe,0.1178,407,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Hebe,0.1165,1056,Viscaria alpina (L.) G.Don,Viscaria,0.0852,525,0.2149,0.0586,Hebe,Trifolium,False,TIER_4_LOW
