roi_id,source_image,final_species,final_genus,label_source,label_confidence,confidence_tier,top1_confidence
roi_0000,Albaninė Šilagėlė.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_3_MODERATE,0.4796
roi_0001,Albaninė Šilagėlė.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_MODERATE,0.4093
roi_0002,Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone,high_confidence_local,high,TIER_1_HIGH,0.9377
roi_0003,Albaninė Šilagėlė.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_3_GENUS_OK,0.4786
roi_0005,DSCF1430-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_5_UNRELIABLE,0.1108
roi_0006,DSCF1430-2.JPG,Alocasia sp. (uncertain),Alocasia,local_uncertain,low,TIER_3_MODERATE,0.4901
roi_0010,DSCF1431-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.2645
roi_0016,DSCF1441-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium,good_confidence_local,high,TIER_2_GOOD,0.6891
roi_0018,DSCF1442-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2046
roi_0019,DSCF1442-2.JPG,Petiveria sp. (uncertain),Petiveria,local_uncertain,low,TIER_5_UNRELIABLE,0.1292
roi_0022,DSCF1486-2.JPG,Nandina domestica Thunb.,Nandina,high_confidence_local,high,TIER_1_HIGH,0.8397
roi_0023,DSCF1487-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.948
roi_0025,DSCF1504-2.JPG,Punica sp. (uncertain),Punica,local_uncertain,low,TIER_4_LOW,0.3739
roi_0026,DSCF1504-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.9848
roi_0027,DSCF1505-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.9114
roi_0029,DSCF1506-2.JPG,Punica sp. (uncertain),Punica,local_uncertain,low,TIER_3_MODERATE,0.5799
roi_0032,DSCF1511-2.JPG,Calycanthus sp. (uncertain),Calycanthus,local_uncertain,low,TIER_3_MODERATE,0.484
roi_0034,DSCF1512-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.9951
roi_0035,DSCF1532-2.JPG,Punica sp. (uncertain),Punica,local_uncertain,low,TIER_3_MODERATE,0.5308
roi_0036,DSCF1532-2.JPG,Punica granatum L.,Punica,high_confidence_local,high,TIER_1_HIGH,0.9712
roi_0037,DSCF1541-2.JPG,Pelargonium sp. (uncertain),Pelargonium,local_uncertain,low,TIER_3_GENUS_OK,0.4225
roi_0038,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,good_confidence_local,high,TIER_2_GOOD,0.7579
roi_0039,DSCF1560-2.JPG,Hebe sp. (uncertain),Hebe,local_uncertain,low,TIER_4_LOW,0.2149
roi_0040,DSCF1560-2.JPG,Trifolium pratense L.,Trifolium,good_confidence_local,high,TIER_2_GOOD,0.6589
roi_0041,DSCF1560-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_5_UNRELIABLE,0.1173
roi_0042,DSCF1560-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2112
roi_0043,DSCF1560-2.JPG,Hebe sp. (uncertain),Hebe,local_uncertain,low,TIER_4_LOW,0.2689
roi_0044,DSCF1563-2.JPG,Trachelospermum sp. (uncertain),Trachelospermum,local_uncertain,low,TIER_3_MODERATE,0.4195
roi_0045,DSCF1563-2.JPG,Zamioculcas sp. (uncertain),Zamioculcas,local_uncertain,low,TIER_3_MODERATE,0.5321
roi_0046,DSCF1563-2.JPG,Lupinus sp. (uncertain),Lupinus,local_uncertain,low,TIER_3_MODERATE,0.4003
roi_0047,DSCF1563-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_3_GENUS_OK,0.5836
roi_0050,DSCF1564-2.JPG,Pereskia sp. (uncertain),Pereskia,local_uncertain,low,TIER_4_LOW,0.3412
roi_0051,DSCF1564-2.JPG,Trifolium sp. (uncertain),Trifolium,local_uncertain,low,TIER_4_LOW,0.2258
roi_0054,DSCF1564-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.3274
roi_0055,DSCF1571-2.JPG,Lupinus polyphyllus Lindl.,Lupinus,good_confidence_local,high,TIER_2_GOOD,0.6355
roi_0056,DSCF1571-2.JPG,Lamium sp. (uncertain),Lamium,local_uncertain,low,TIER_5_UNRELIABLE,0.1659
roi_0057,DSCF1571-2.JPG,Daphne mezereum L.,Daphne,good_confidence_local,high,TIER_2_GOOD,0.6086
roi_0058,DSCF1573-2.JPG,Cobaea sp. (uncertain),Cobaea,local_uncertain,low,TIER_4_LOW,0.3924
roi_0059,DSCF1573-2.JPG,Pongamia sp. (uncertain),Pongamia,local_uncertain,low,TIER_4_LOW,0.2036
roi_0060,DSCF1573-2.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_4_LOW,0.2769
roi_0061,DSCF1573-2.JPG,Lathraea sp. (uncertain),Lathraea,local_uncertain,low,TIER_4_LOW,0.3501
roi_0062,DSCF1573-2.JPG,Lathraea clandestina L.,Lathraea,good_confidence_local,high,TIER_2_GOOD,0.6617
roi_0063,DSCF1575-2.JPG,Pereskia sp. (uncertain),Pereskia,local_uncertain,low,TIER_4_LOW,0.2252
roi_0064,DSCF1575-2.JPG,Pereskia sp. (uncertain),Pereskia,local_uncertain,low,TIER_4_LOW,0.3301
roi_0065,DSCF1575-2.JPG,Lathraea sp. (uncertain),Lathraea,local_uncertain,low,TIER_4_LOW,0.2716
roi_0066,DSCF1575-2.JPG,Hebe sp. (uncertain),Hebe,local_uncertain,low,TIER_4_LOW,0.3616
roi_0067,DSCF1575-2.JPG,Pongamia sp. (uncertain),Pongamia,local_uncertain,low,TIER_4_LOW,0.2933
roi_0068,DSCF1575-2.JPG,Pongamia sp. (uncertain),Pongamia,local_uncertain,low,TIER_3_MODERATE,0.4578
roi_0069,DSCF1575-2.JPG,Lupinus sp. (uncertain),Lupinus,local_uncertain,low,TIER_3_GENUS_OK,0.5766
roi_0073,DSCF8139-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.2783
roi_0074,DSCF8139-2.JPG,Ophrys sp. (uncertain),Ophrys,local_uncertain,low,TIER_5_UNRELIABLE,0.1154
roi_0077,DSCF8141-2.JPG,Cymbalaria sp. (uncertain),Cymbalaria,local_uncertain,low,TIER_5_UNRELIABLE,0.197
roi_0079,DSCF8141-2.JPG,Hyoscyamus sp. (uncertain),Hyoscyamus,local_uncertain,low,TIER_4_LOW,0.3613
roi_0080,DSCF8141-2.JPG,Thesium sp. (uncertain),Thesium,local_uncertain,low,TIER_5_UNRELIABLE,0.1769
roi_0084,DSCF8145-2.JPG,Hyoscyamus albus L.,Hyoscyamus,high_confidence_local,high,TIER_1_HIGH,0.9463
roi_0093,DSCF8151-2.JPG,Chaerophyllum sp. (uncertain),Chaerophyllum,local_uncertain,low,TIER_5_UNRELIABLE,0.1386
roi_0098,DSCF8154-2.JPG,Acalypha sp. (uncertain),Acalypha,local_uncertain,low,TIER_3_MODERATE,0.5893
roi_0105,DSCF8155-2.JPG,Anthericum sp. (uncertain),Anthericum,local_uncertain,low,TIER_3_MODERATE,0.456
roi_0111,DSCF8157-2.JPG,Anthericum sp. (uncertain),Anthericum,local_uncertain,low,TIER_5_UNRELIABLE,0.1061
roi_0113,DSCF8158-2.JPG,Calendula sp. (uncertain),Calendula,local_uncertain,low,TIER_5_UNRELIABLE,0.1492
roi_0114,DSCF8158-2.JPG,Danthonia sp. (uncertain),Danthonia,local_uncertain,low,TIER_5_UNRELIABLE,0.1151
roi_0119,DSCF8161-2.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_4_LOW,0.3752
roi_0120,DSCF8161-2.JPG,Lactuca muralis (L.) Gaertn.,Lactuca,good_confidence_local,high,TIER_2_GOOD,0.6452
roi_0123,DSCF8163-2.JPG,Epipactis microphylla (Ehrh.) Sw.,Epipactis,high_confidence_local,high,TIER_1_HIGH,0.8622
roi_0128,DSC_0036.JPG,Angelica sylvestris L.,Angelica,high_confidence_local,high,TIER_1_HIGH,0.817
roi_0130,DSC_5562[.jpg,Pyracantha coccinea M.Roem.,Pyracantha,high_confidence_local,high,TIER_1_HIGH,0.8756
roi_0131,DSC_5566.JPG,Perovskia sp. (uncertain),Perovskia,local_uncertain,low,TIER_4_LOW,0.3717
roi_0132,DSC_5566.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.3552
roi_0133,DSC_5566.JPG,Papaver sp. (uncertain),Papaver,local_uncertain,low,TIER_4_LOW,0.2298
roi_0134,DSC_5566.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.2416
roi_0135,DSC_5566.JPG,Sedum sp. (uncertain),Sedum,local_uncertain,low,TIER_3_MODERATE,0.4226
roi_0136,DSC_5575.JPG,Cucurbita sp. (uncertain),Cucurbita,local_uncertain,low,TIER_4_LOW,0.396
roi_0137,DSC_5575.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_3_GENUS_OK,0.4479
roi_0138,DSC_5575.JPG,Acacia baileyana F.Muell.,Acacia,good_confidence_local,high,TIER_2_GOOD,0.656
roi_0139,DSC_5575.JPG,Sedum dasyphyllum L.,Sedum,high_confidence_local,high,TIER_1_HIGH,0.8447
roi_0140,DSC_5575.JPG,Eritrichium sp. (uncertain),Eritrichium,local_uncertain,low,TIER_4_LOW,0.2728
roi_0141,DSC_5677.JPG,Tagetes erecta L.,Tagetes,high_confidence_local,high,TIER_1_HIGH,0.8333
roi_0143,DSC_5680.JPG,Cymbalaria sp. (uncertain),Cymbalaria,local_uncertain,low,TIER_5_UNRELIABLE,0.1866
roi_0144,DSC_5681.JPG,Anemone sp. (uncertain),Anemone,local_uncertain,low,TIER_5_UNRELIABLE,0.1115
roi_0145,DSC_5681.JPG,Dryas sp. (uncertain),Dryas,local_uncertain,low,TIER_3_MODERATE,0.515
roi_0146,DSC_5681.JPG,Dryas octopetala L.,Dryas,good_confidence_local,high,TIER_2_GOOD,0.6901
roi_0152,DSC_5683.JPG,Cymbalaria sp. (uncertain),Cymbalaria,local_uncertain,low,TIER_3_MODERATE,0.4209
roi_0154,DSC_5687.JPG,Holodiscus sp. (uncertain),Holodiscus,local_uncertain,low,TIER_5_UNRELIABLE,0.0949
roi_0155,DSC_5687.JPG,Pyracantha coccinea M.Roem.,Pyracantha,good_confidence_local,high,TIER_2_GOOD,0.7993
roi_0157,DSC_5690.JPG,Humulus sp. (uncertain),Humulus,local_uncertain,low,TIER_4_LOW,0.2869
roi_0158,DSC_5691.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.3756
roi_0159,DSC_5691.JPG,Limbarda sp. (uncertain),Limbarda,local_uncertain,low,TIER_3_MODERATE,0.5019
roi_0160,DSC_5691.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.2454
roi_0161,DSC_5692.JPG,Daucus carota L.,Daucus,good_confidence_local,high,TIER_2_GOOD,0.6682
roi_0162,DSC_5692.JPG,Metasequoia sp. (uncertain),Metasequoia,local_uncertain,low,TIER_4_LOW,0.3513
roi_0163,DSC_5692.JPG,Cenchrus setaceus (Forssk.) Morrone,Cenchrus,high_confidence_local,high,TIER_1_HIGH,0.9286
roi_0164,DSC_5698.JPG,Hebe sp. (uncertain),Hebe,local_uncertain,low,TIER_4_LOW,0.3974
roi_0165,DSC_5701.JPG,Hypericum sp. (uncertain),Hypericum,local_uncertain,low,TIER_5_UNRELIABLE,0.125
roi_0166,DSC_5703.JPG,Fragaria sp. (uncertain),Fragaria,local_uncertain,low,TIER_3_MODERATE,0.5606
roi_0167,DSC_5710.JPG,Eritrichium sp. (uncertain),Eritrichium,local_uncertain,low,TIER_4_LOW,0.2
roi_0168,DSC_5710.JPG,Garrya sp. (uncertain),Garrya,local_uncertain,low,TIER_4_LOW,0.2524
roi_0169,DSC_5710.JPG,Cirsium sp. (uncertain),Cirsium,local_uncertain,low,TIER_4_LOW,0.2343
roi_0170,DSC_5710.JPG,Holodiscus sp. (uncertain),Holodiscus,local_uncertain,low,TIER_4_LOW,0.2952
roi_0171,DSC_5710.JPG,Acacia sp. (uncertain),Acacia,local_uncertain,low,TIER_4_LOW,0.2395
roi_0172,DSC_5770.JPG,Sedum sexangulare L.,Sedum,good_confidence_local,high,TIER_2_GOOD,0.6992
roi_0173,DSC_5770.JPG,Sedum sexangulare L.,Sedum,high_confidence_local,high,TIER_1_HIGH,0.8311
roi_0176,DSC_5779.JPG,Daphne sp. (uncertain),Daphne,local_uncertain,low,TIER_3_MODERATE,0.4804
