image,true_species,full_image_pred,full_image_conf,full_image_correct,roi_pred,roi_conf,roi_correct
Albaninė Šilagėlė.JPG,Anemone alpina L.,Anemone alpina L.,0.7806,True,Hyoscyamus albus L.,0.4796,False
DSCF1441-2.JPG,Pelargonium zonale (L.) L'Hér. ex Aiton,Pelargonium zonale (L.) L'Hér. ex Aiton,0.2986,True,Pelargonium zonale (L.) L'Hér. ex Aiton,0.6891,True
DSCF1486-2.JPG,Nandina domestica Thunb.,Nandina domestica Thunb.,0.9076,True,Nandina domestica Thunb.,0.8397,True
DSCF1487-2.JPG,Punica granatum L.,Punica granatum L.,0.9465,True,Punica granatum L.,0.948,True
DSCF1504-2.JPG,Punica granatum L.,Pelargonium inquinans (L.) Aiton,0.3849,False,Punica granatum L.,0.3739,True
DSCF1505-2.JPG,Punica granatum L.,Punica granatum L.,0.9176,True,Punica granatum L.,0.9114,True
DSCF1512-2.JPG,Punica granatum L.,Punica granatum L.,0.9854,True,Punica granatum L.,0.9951,True
DSCF1532-2.JPG,Punica granatum L.,Punica granatum L.,0.976,True,Punica granatum L.,0.5308,True
DSCF1560-2.JPG,Trifolium pratense L.,Trifolium resupinatum L.,0.2472,False,Trifolium pratense L.,0.7579,True
DSCF1571-2.JPG,Lupinus polyphyllus Lindl.,Daphne mezereum L.,0.3939,False,Lupinus polyphyllus Lindl.,0.6355,True
DSCF1573-2.JPG,Lathraea clandestina L.,Hypericum calycinum L.,0.4848,False,Cobaea scandens Cav.,0.3924,False
DSC_0036.JPG,Angelica sylvestris L.,Sedum sediforme (Jacq.) Pau,0.6451,False,Angelica sylvestris L.,0.817,True
DSC_5575.JPG,Acacia baileyana F.Muell.,Acacia baileyana F.Muell.,0.2778,True,Cucurbita moschata Duchesne,0.396,False
DSC_5677.JPG,Tagetes erecta L.,Tagetes erecta L.,0.8403,True,Tagetes erecta L.,0.8333,True
DSC_5681.JPG,Dryas octopetala L.,Dryas octopetala L.,0.467,True,Anemone alpina L.,0.1115,False
DSC_5687.JPG,Pyracantha coccinea M.Roem.,Liriodendron tulipifera L.,0.6694,False,Holodiscus discolor (Pursh) Maxim.,0.0949,False
DSC_5692.JPG,Daucus carota L.,Cenchrus setaceus (Forssk.) Morrone,0.7633,False,Daucus carota L.,0.6682,True
DSC_5770.JPG,Sedum sexangulare L.,Sedum sexangulare L.,0.6783,True,Sedum sexangulare L.,0.6992,True
DSC_5783sds.JPG,Acacia dealbata Link,Acacia dealbata Link,0.9529,True,Acacia dealbata Link,0.8867,True
DSC_8394124.JPG,Acacia dealbata Link,Sedum acre L.,0.9362,False,Acacia dealbata Link,0.9724,True
DSC_8400.JPG,Anemone hepatica L.,Anemone hepatica L.,0.9966,True,Anemone hepatica L.,0.927,True
DSC_8404.JPG,Mercurialis perennis L.,Kniphofia uvaria (L.) Hook.,0.8661,False,Mercurialis perennis L.,0.7351,True
DSC_8626.JPG,Anemone pulsatilla L.,Anemone pulsatilla L.,0.9679,True,Anemone pulsatilla L.,0.9628,True
DSC_8630.JPG,Anemone alpina L.,Anemone alpina L.,0.9532,True,Trifolium repens L.,0.1032,False
DSC_8634.JPG,Anemone alpina L.,Anemone alpina L.,0.739,True,Anemone alpina L.,0.6341,True
DSC_8636.JPG,Lamium maculatum (L.) L.,Anemone pulsatilla L.,0.6477,False,Anemone pulsatilla L.,0.2628,False
DSC_8639.JPG,Papaver alpinum L.,Anemone vernalis L.,0.3229,False,Sedum acre L.,0.5369,False
DSC_8641.JPG,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.","Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0.5824,True,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0.6311,True
DSC_8650.JPG,Anemone alpina L.,Anemone alpina L.,0.8968,True,Daucus carota L.,0.3638,False
DSC_8652.JPG,Anemone alpina L.,Limnanthes douglasii R.Br.,0.2922,False,Anemone alpina L.,0.8905,True
DSC_8654.JPG,Trachelospermum jasminoides (Lindl.) Lem.,Limnanthes douglasii R.Br.,0.3875,False,Trachelospermum jasminoides (Lindl.) Lem.,0.7154,True
DSC_8661.JPG,Anemone blanda Schott & Kotschy,Lavandula angustifolia Mill.,0.5602,False,Anemone blanda Schott & Kotschy,0.9026,True
DSC_8711.JPG,Trifolium dubium Sibth.,Sedum acre L.,0.4193,False,Trifolium dubium Sibth.,0.9591,True
